model,dataset,layer,rel_depth,eq56_delta_rel,defect_unnorm,defect_over_mindist,defect_over_meddist,one_minus_delta_rel,max_gromov_over_diam,minform_over_maxgromov
Qwen/Qwen2.5-7B,prontoqa,0,0.0,0.0725,0.1082,1.0723028770138847e+34,0.0828,0.9275,0.9881,0.0743
Qwen/Qwen2.5-7B,prontoqa,1,0.036,0.0408,1.0879,1.9909,0.075,0.9592,0.7384,0.0546
Qwen/Qwen2.5-7B,prontoqa,2,0.071,0.056,1.738,1.8341,0.0892,0.944,0.8247,0.0678
Qwen/Qwen2.5-7B,prontoqa,3,0.107,0.054,2.7714,1.8793,0.1013,0.946,0.763,0.0708
Qwen/Qwen2.5-7B,prontoqa,4,0.143,0.0605,3.7078,1.4266,0.1139,0.9395,0.7687,0.0785
Qwen/Qwen2.5-7B,prontoqa,5,0.179,0.0555,3.9363,1.2891,0.1067,0.9445,0.7726,0.0718
Qwen/Qwen2.5-7B,prontoqa,6,0.214,0.0594,4.4995,1.1181,0.1089,0.9406,0.7262,0.0804
Qwen/Qwen2.5-7B,prontoqa,7,0.25,0.059,5.2037,1.1769,0.1133,0.941,0.7325,0.0815
Qwen/Qwen2.5-7B,prontoqa,8,0.286,0.0552,6.0995,1.0932,0.1157,0.9448,0.7048,0.0788
Qwen/Qwen2.5-7B,prontoqa,9,0.321,0.0588,6.6315,0.986,0.114,0.9412,0.7232,0.0829
Qwen/Qwen2.5-7B,prontoqa,10,0.357,0.0552,6.9845,1.0228,0.1242,0.9448,0.6846,0.0818
Qwen/Qwen2.5-7B,prontoqa,11,0.393,0.0578,7.3526,0.9451,0.1254,0.9422,0.6983,0.0818
Qwen/Qwen2.5-7B,prontoqa,12,0.429,0.0608,7.8644,0.8839,0.1276,0.9392,0.6929,0.0853
Qwen/Qwen2.5-7B,prontoqa,13,0.464,0.0602,7.9239,0.7842,0.1268,0.9398,0.6864,0.0864
Qwen/Qwen2.5-7B,prontoqa,14,0.5,0.0617,8.2023,0.6251,0.1249,0.9383,0.6941,0.0869
Qwen/Qwen2.5-7B,prontoqa,15,0.536,0.0592,8.7085,0.664,0.1251,0.9408,0.6776,0.0867
Qwen/Qwen2.5-7B,prontoqa,16,0.571,0.0606,9.419,0.5354,0.1248,0.9394,0.6459,0.092
Qwen/Qwen2.5-7B,prontoqa,17,0.607,0.0606,9.7278,0.4741,0.1213,0.9394,0.6664,0.0893
Qwen/Qwen2.5-7B,prontoqa,18,0.643,0.0665,10.6748,0.4317,0.1216,0.9335,0.7179,0.0919
Qwen/Qwen2.5-7B,prontoqa,19,0.679,0.071,11.1429,0.3986,0.1184,0.929,0.7588,0.0907
Qwen/Qwen2.5-7B,prontoqa,20,0.714,0.0791,12.9629,0.4197,0.1193,0.9209,0.8008,0.0969
Qwen/Qwen2.5-7B,prontoqa,21,0.75,0.0808,14.7719,0.4,0.1152,0.9192,0.8454,0.0951
Qwen/Qwen2.5-7B,prontoqa,22,0.786,0.0811,18.1243,0.4427,0.1166,0.9189,0.845,0.0969
Qwen/Qwen2.5-7B,prontoqa,23,0.821,0.0752,21.0502,0.4538,0.11,0.9248,0.8147,0.0922
Qwen/Qwen2.5-7B,prontoqa,24,0.857,0.0709,24.7501,0.4705,0.1087,0.9291,0.7788,0.0908
Qwen/Qwen2.5-7B,prontoqa,25,0.893,0.0665,28.333,0.5027,0.1079,0.9335,0.7655,0.0868
Qwen/Qwen2.5-7B,prontoqa,26,0.929,0.0633,30.8236,0.4904,0.1039,0.9367,0.743,0.085
Qwen/Qwen2.5-7B,prontoqa,27,0.964,0.0114,40.4467,0.5375,0.1124,0.9886,0.942,0.0121
Qwen/Qwen2.5-7B,prontoqa,28,1.0,0.1143,67.2916,1.3866,0.2027,0.8857,0.8164,0.1407
